@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
26,0,2,0,0,0,?
30,0,0,0,0,0,?
89,0,2,0,0,0,?
10,0,1,0,0,0,?
47,1,3,0,0,0,?
110,2,5,1,0,0,?
36,0,2,0,0,0,?
45,0,4,0,0,0,?
35,0,2,0,0,0,?
35,0,2,0,0,0,?
35,0,2,0,0,0,?
65,0,2,0,0,0,?
16,0,1,0,0,0,?
80,2,5,1,0,0,?
18,0,7,0,0,0,?
20,0,3,0,0,0,?
4,0,0,0,0,0,?
22,0,1,0,0,0,?
36,0,2,0,0,0,?
33,0,3,0,0,0,?
9,0,1,0,0,0,?
20,0,1,0,0,0,?
6,0,1,0,0,0,?
43,5,2,0,0,0,?
36,0,12,0,0,0,?
30,1,4,1,0,0,?
45,4,5,6,0,2,?
45,0,3,0,0,0,?
6,0,2,0,0,0,?
11,0,0,0,0,0,?
