@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
57,8,3,21,0,0,?
80,7,3,32,0,1,?
86,30,1,71,0,0,?
49,11,1,19,0,0,?
81,13,1,25,0,0,?
60,13,1,14,0,0,?
54,13,1,14,0,0,?
54,14,1,27,0,0,?
52,11,1,18,0,0,?
22,5,1,1,0,0,?
64,17,1,35,0,0,?
64,9,1,70,0,0,?
71,13,1,20,0,0,?
12,0,1,0,0,0,?
10,0,1,0,0,0,?
14,1,0,0,0,0,?
81,13,1,25,0,0,?
90,21,1,66,0,0,?
143,33,1,105,0,2,?
98,20,1,70,0,0,?
57,16,1,27,0,0,?
201,46,1,163,0,2,?
260,55,2,195,0,1,?
65,17,1,32,0,0,?
56,9,1,22,0,0,?
55,13,1,14,0,0,?
61,13,1,18,0,0,?
15,0,2,4,0,0,?
96,16,8,39,0,0,?
98,11,5,61,0,0,?
141,7,12,45,0,0,?
36,3,2,8,0,0,?
39,9,1,15,0,0,?
47,12,2,17,0,0,?
39,4,2,8,0,0,?
140,1,13,51,0,0,?
18,1,1,2,0,0,?
15,1,1,3,0,0,?
22,1,2,7,0,0,?
24,1,2,7,0,0,?
20,0,2,4,0,0,?
105,12,6,82,0,1,?
107,19,11,25,0,0,?
8,0,0,0,0,0,?
97,8,10,16,0,3,?
47,2,8,0,0,0,?
107,4,5,15,0,7,?
18,0,1,0,0,0,?
18,0,1,0,0,0,?
11,1,1,0,0,0,?
39,2,1,4,0,0,?
48,2,2,5,0,3,?
35,1,2,3,0,0,?
57,2,2,7,0,3,?
11,1,1,0,0,0,?
25,2,2,3,0,0,?
28,5,2,7,0,0,?
18,1,2,0,0,0,?
373,42,20,122,0,18,?
14,5,0,0,0,0,?
37,4,5,7,0,0,?
30,2,4,2,0,0,?
22,2,1,5,0,1,?
7,0,0,0,0,0,?
4,0,0,0,0,0,?
7,0,0,0,0,0,?
7,0,0,0,0,0,?
4,0,0,0,0,0,?
7,0,0,0,0,0,?
6,0,0,0,0,0,?
6,0,0,0,0,0,?
7,0,0,0,0,0,?
7,0,0,0,0,0,?
6,0,0,0,0,0,?
4,0,0,0,0,0,?
7,0,0,0,0,0,?
6,0,0,0,0,0,?
99,15,3,107,0,1,?
35,6,1,15,0,0,?
35,6,1,15,0,0,?
80,18,3,46,0,0,?
20,1,1,1,0,0,?
20,1,1,1,0,0,?
7,0,1,0,0,0,?
21,2,1,1,0,0,?
6,0,0,0,0,0,?
6,0,0,0,0,0,?
14,0,1,0,0,0,?
9,0,1,0,0,0,?
7,0,0,0,0,0,?
35,6,1,15,0,0,?
35,6,1,15,0,0,?
35,6,1,15,0,0,?
65,13,2,35,0,0,?
24,0,2,1,0,0,?
67,2,3,12,0,0,?
25,0,2,1,0,0,?
90,16,3,23,0,7,?
24,0,2,1,0,0,?
25,0,2,1,0,0,?
75,6,4,20,0,4,?
25,0,2,1,0,0,?
84,5,6,47,0,0,?
99,5,5,50,0,0,?
36,0,3,16,0,0,?
237,32,17,246,0,0,?
170,9,5,94,0,0,?
205,13,17,104,0,0,?
128,5,5,70,0,0,?
16,1,1,3,0,0,?
158,3,15,72,0,0,?
26,0,3,8,0,0,?
31,0,4,10,0,0,?
73,10,6,32,0,0,?
104,29,5,68,0,0,?
818,143,58,717,0,0,?
178,7,19,132,0,0,?
138,18,18,53,0,0,?
163,25,16,97,0,0,?
269,47,27,195,0,0,?
79,10,9,44,0,0,?
102,14,5,67,0,0,?
74,1,7,28,0,0,?
163,23,14,119,0,0,?
211,25,18,129,0,0,?
97,14,8,86,0,0,?
234,26,23,178,0,0,?
139,16,15,74,0,0,?
97,9,9,34,0,0,?
36,5,3,11,0,0,?
35,5,2,14,0,0,?
155,25,13,110,0,0,?
267,35,18,261,0,0,?
279,52,19,204,0,0,?
54,1,7,16,0,0,?
47,1,6,13,0,0,?
21,1,1,8,0,0,?
372,91,23,325,0,0,?
84,20,4,99,0,0,?
73,13,6,48,0,0,?
959,207,67,894,0,0,?
128,10,10,84,0,0,?
129,7,10,88,0,0,?
189,20,17,131,0,0,?
259,25,20,222,0,0,?
32,2,2,16,0,0,?
34,0,4,16,0,0,?
577,98,40,579,0,0,?
33,3,1,22,0,0,?
12,3,0,2,0,0,?
242,7,24,52,0,17,?
257,12,16,58,0,15,?
8,0,0,0,0,0,?
45,3,8,0,0,0,?
444,0,32,30,0,0,?
334,0,26,24,0,0,?
104,8,18,1,0,1,?
31,3,1,8,0,3,?
14,0,0,0,0,0,?
21,2,3,0,0,0,?
45,3,8,0,0,0,?
98,8,5,18,0,7,?
120,9,18,19,0,4,?
209,0,16,14,0,0,?
9,0,1,2,0,0,?
30,2,1,2,0,2,?
30,0,1,2,0,1,?
72,7,3,17,0,4,?
134,6,14,0,0,0,?
126,7,12,20,0,8,?
13,0,0,0,0,0,?
210,8,22,27,0,10,?
32,0,3,0,0,0,?
29,10,0,0,0,0,?
185,0,14,14,0,0,?
32,0,0,0,0,0,?
227,7,21,24,0,6,?
203,7,20,19,0,7,?
133,7,14,13,0,5,?
144,10,15,20,0,0,?
150,2,12,16,0,6,?
185,7,17,31,0,4,?
104,1,12,7,0,1,?
71,5,6,22,0,3,?
13,0,0,0,0,0,?
78,9,7,17,0,2,?
34,2,3,1,0,1,?
236,11,23,18,0,6,?
36,1,3,2,0,1,?
163,9,20,31,0,8,?
739,34,42,243,0,52,?
29,2,4,6,0,1,?
87,1,8,7,0,2,?
43,2,6,6,0,2,?
10,0,1,2,0,0,?
8,0,0,0,0,0,?
8,0,0,0,0,0,?
124,8,10,39,0,16,?
207,11,20,19,0,12,?
154,5,14,58,0,3,?
225,10,21,62,0,20,?
45,2,6,0,0,0,?
102,5,11,3,0,1,?
57,2,7,5,0,2,?
61,3,8,4,0,2,?
36,2,7,1,0,0,?
8,0,0,0,0,0,?
226,14,19,88,0,10,?
401,26,37,103,0,24,?
65,4,5,0,0,0,?
104,3,10,7,0,2,?
230,5,19,64,0,12,?
285,13,36,16,0,5,?
200,11,29,11,0,7,?
103,5,14,14,0,4,?
569,29,39,150,0,27,?
49,2,5,4,0,2,?
19,0,0,0,0,0,?
87,7,14,0,0,0,?
9,0,1,1,0,0,?
83,6,13,3,0,1,?
143,6,13,25,0,6,?
242,33,17,145,0,5,?
4,0,0,0,0,0,?
4,0,0,0,0,0,?
4,0,0,0,0,0,?
4,0,0,0,0,0,?
10,1,0,0,0,0,?
4,0,0,0,0,0,?
4,0,0,0,0,0,?
4,0,0,0,0,0,?
10,1,0,0,0,0,?
4,0,0,0,0,0,?
12,0,1,0,0,0,?
18,1,0,0,0,0,?
10,0,1,0,0,0,?
4,0,0,0,0,0,?
4,0,0,0,0,0,?
7,1,0,0,0,0,?
10,0,1,0,0,0,?
10,0,1,1,0,0,?
4,0,0,0,0,0,?
7,1,0,0,0,0,?
4,0,0,0,0,0,?
4,0,0,0,0,0,?
9,1,0,0,0,0,?
4,0,0,0,0,0,?
12,1,0,0,0,0,?
9,1,0,0,0,0,?
9,1,0,0,0,0,?
7,0,0,0,0,0,?
4,0,0,0,0,0,?
4,0,0,0,0,0,?
4,0,0,0,0,0,?
4,0,0,0,0,0,?
7,1,0,0,0,0,?
7,1,0,0,0,0,?
285,42,11,240,0,1,?
39,2,4,4,0,0,?
85,8,6,73,0,0,?
57,5,5,13,0,0,?
55,2,4,6,0,0,?
74,9,4,17,0,0,?
162,19,18,70,0,0,?
61,0,9,14,0,0,?
68,6,5,25,0,0,?
22,1,1,4,0,0,?
166,36,10,172,0,2,?
38,2,3,4,0,0,?
72,8,3,47,0,0,?
39,2,3,4,0,0,?
12,3,0,2,0,0,?
41,0,4,0,0,0,?
14,0,3,0,0,0,?
199,17,18,74,0,13,?
27,1,2,1,0,1,?
117,8,4,23,0,11,?
24,1,3,0,0,0,?
46,5,2,13,0,2,?
25,1,2,2,0,1,?
80,6,5,25,0,4,?
36,4,1,13,0,2,?
41,1,3,5,0,3,?
